"게시물 ID","계정 ID","계정 사용자 이름","계정 이름",설명,기간(초),"게시 시간","고유 링크","게시물 유형","데이터 댓글",날짜,조회,도달,좋아요,공유,팔로우,댓글,저장
18044031290193385,17841462433048700,craftvolt_official,볼트형,"전동가위 배터리 업그레이드!",24,"05/12/2025 20:40",https://www.instagram.com/reel/DJlDiJKTcXb/,"Instagram 릴스",,"전체 기간",321,258,3,1,1,0,0
18055985156463188,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 전동가위 베스트 리뷰!",137,"05/18/2025 23:45",https://www.instagram.com/reel/DJ0w6Yzz3yw/,"Instagram 릴스",,"전체 기간",229,184,1,1,0,0,1
17986248347835423,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 밭갈이 기계 드디어 재입고!!!",128,"07/12/2025 00:09",https://www.instagram.com/reel/DL_7Ep_Tb4f/,"Instagram 릴스",,"전체 기간",254,212,4,1,0,0,0
17914572480079583,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 밭갈이 기계를 사야하는 이유",57,"07/16/2025 16:10",https://www.instagram.com/reel/DML8SerzkQj/,"Instagram 릴스",,"전체 기간",404,328,6,2,3,0,0
18107049700558192,17841462433048700,craftvolt_official,볼트형,"전원 생활 필수템 밭갈이 기계 장점 3가지",67,"07/26/2025 18:47",https://www.instagram.com/reel/DMl99VmTX3b/,"Instagram 릴스",,"전체 기간",500,436,3,1,0,0,0
17995521005657638,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 밭갈이 기계를 사야하는 3가지 이유",53,"07/28/2025 14:45",https://www.instagram.com/reel/DMqsDSDzOjn/,"Instagram 릴스",,"전체 기간",1728,1560,5,2,2,0,1
18058754582599187,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 전기톱이 입고 되었습니다! 구매 문의는 댓글 부탁드립니다!",16,"07/30/2025 08:24",https://www.instagram.com/reel/DMvKG6kTiS-/,"Instagram 릴스",,"전체 기간",367,313,1,1,0,0,0
18020876831723363,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 전기톱이 화재인 3가지 이유",57,"07/31/2025 14:51",https://www.instagram.com/reel/DMybHgpz7Zy/,"Instagram 릴스",,"전체 기간",417,377,1,1,0,0,0
18024344198513063,17841462433048700,craftvolt_official,볼트형,"기성비 최고인 크래프트볼트 전기톱 장점 3가지",56,"08/02/2025 06:35",https://www.instagram.com/reel/DM2o_o-T4NA/,"Instagram 릴스",,"전체 기간",1036,934,3,1,0,0,0
17907860019193069,17841462433048700,craftvolt_official,볼트형,"전동 밭갈이 기계가 화재인 3가지 이유!",44,"08/03/2025 15:06",https://www.instagram.com/reel/DM6LSlZz5yY/,"Instagram 릴스",,"전체 기간",973,869,5,1,2,0,0
18091863442646323,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 전기톱 강력 추천하는 3가지 이유",60,"08/06/2025 15:23",https://www.instagram.com/reel/DNB7ZTKTFFZ/,"Instagram 릴스",,"전체 기간",249,200,1,1,0,0,0
18093870580648164,17841462433048700,craftvolt_official,볼트형,"전동 밭갈이 기계를 사야하는 3가지 이유",61,"08/08/2025 22:21",https://www.instagram.com/reel/DNHzWpsTQOZ/,"Instagram 릴스",,"전체 기간",212,180,1,1,0,0,0
18074782256063573,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 전기톱 베스트 리뷰를 소개합니다!",192,"08/13/2025 07:35",https://www.instagram.com/reel/DNTG3zAzIj_/,"Instagram 릴스",,"전체 기간",25,20,1,0,0,0,1
18025453316518010,17841462433048700,craftvolt_official,볼트형,"전기톱을 사야하는 3가지 이유",66,"08/15/2025 14:00",https://www.instagram.com/reel/DNY9ViITsZO/,"Instagram 릴스",,"전체 기간",3380,3168,2,0,1,0,0
18076952566791342,17841462433048700,craftvolt_official,볼트형,"쿠팡 1위 전기톱 크래프트볼트",55,"08/18/2025 16:43",https://www.instagram.com/reel/DNg-UoaTl9W/,"Instagram 릴스",,"전체 기간",311,243,2,1,0,0,0
18108867334557485,17841462433048700,craftvolt_official,볼트형,"전원 생활 필수템 크래프트볼트 대포 송풍기 장점 3가지",65,"08/31/2025 15:32",https://www.instagram.com/reel/DOCUdqcEzmk/,"Instagram 릴스",,"전체 기간",778,702,3,1,0,0,0
17901413796125394,17841462433048700,craftvolt_official,볼트형,"전원 생활 필수템 충전식 전기톱 장점 3가지",59,"09/02/2025 15:42",https://www.instagram.com/reel/DOHfRTnk0hj/,"Instagram 릴스",,"전체 기간",512,473,0,1,0,0,1
18101491513607772,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 전기톱 배터리 1개로 얼마나 사용할 수 있을까?",28,"09/07/2025 15:36",https://www.instagram.com/reel/DOUWonHE_F6/,"Instagram 릴스",,"전체 기간",1183,1081,2,0,0,0,1
18045653933673953,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 밭갈이 기계 얼마나 사용할 수 있을까?",32,"09/28/2025 22:58",https://www.instagram.com/reel/DPLNz_bk0E8/,"Instagram 릴스",,"전체 기간",342,303,3,0,0,0,0
18067584689209100,17841462433048700,craftvolt_official,볼트형,"텃밭 관리 필수템 밭갈이 기계 장점 3가지",51,"09/29/2025 15:00",https://www.instagram.com/reel/DPM76lAEyPu/,"Instagram 릴스",,"전체 기간",381,347,2,0,1,0,0
17984721731898048,17841462433048700,craftvolt_official,볼트형,"크래프트볼트 송풍기를 사야하는 3가지 이유",67,"09/30/2025 15:00",https://www.instagram.com/reel/DPPgzHjkwo1/,"Instagram 릴스",,"전체 기간",498,464,2,0,1,0,1
18225997174305335,17841462433048700,craftvolt_official,볼트형,"전기톱 해외직구말고, 국내 제품을 사야하는 이유

👇 크래프트볼트 전기톱 구매 방법
① 크래프트볼트 프로필 클릭
② 상단 구매 링크 또는 전화 문의
③ 온라인 주문 또는 전화 주문
이제 전기톱 구매 손쉽게 하세요!",73,"09/30/2025 19:30",https://www.instagram.com/reel/DPP_ftak6pv/,"Instagram 릴스",,"전체 기간",1332,1162,4,1,1,0,1
17915078925195783,17841462433048700,craftvolt_official,볼트형,"전기톱 해외직구말고, 국내 제품을 사야하는 이유

👇 크래프트볼트 전기톱 구매 방법
① 크래프트볼트 프로필 클릭
② 상단 구매 링크 또는 전화 문의
③ 온라인 주문 또는 전화 주문
이제 전기톱 구매 손쉽게 하세요!",36,"09/30/2025 19:31",https://www.instagram.com/reel/DPP_ss8k5xl/,"Instagram 릴스",,"전체 기간",1911,1610,3,0,0,0,0
